Bestbuy_name,Bestbuy_sku,Bestbuy_price,Bestbuy_link
Dell 24 Monitor - P2425,17983310,429.99,https://www.bestbuy.ca/en-ca/product/17983310
Dell UltraSharp 34 Curved Thunderbolt™ Hub Monitor - U3425WE,17983318,1049.99,https://www.bestbuy.ca/en-ca/product/17983318
Dell 27 Monitor - P2725H,17983313,309.99,https://www.bestbuy.ca/en-ca/product/17983313
"Dell P2422HE 23.8"" Full HD WLED LCD Monitor",15746317,434.99,https://www.bestbuy.ca/en-ca/product/15746317
Dell 55 4K Interactive Touch Monitor - P5524QT,17983314,3719.99,https://www.bestbuy.ca/en-ca/product/17983314
Dell 24 USB-C® Hub Monitor - P2425HE,17983321,354.99,https://www.bestbuy.ca/en-ca/product/17983321
Dell S2721HN LED Monitor (Grey),16471447,179.99,https://www.bestbuy.ca/en-ca/product/16471447
"Dell S3422DW 34"" WQHD 21:9 Curved Monitor, 3440 x 1440, 100Hz, 1800R, Built-in 2x5W Speakers, 4msGTG, 16.7 Million Colors, Silver (Lat S3422DW-70VD6)",16471468,425.0,https://www.bestbuy.ca/en-ca/product/16471468
Dell 24 Monitor - S2425H,17983319,149.99,https://www.bestbuy.ca/en-ca/product/17983319
"DELL 24"" WQHD 60Hz IPS LCD Monitor (DELL-P2423DE)",16655705,514.99,https://www.bestbuy.ca/en-ca/product/16655705
"Dell P2418HZM 24"" 16:9 Ultrathin Bezel IPS LCD Computer Monitor (2-Pack) Best Value Bundle with LCD Screen Cleaning Kit",15806495,609.95,https://www.bestbuy.ca/en-ca/product/15806495
"Dell P2418HZM 24"" 16:9 Ultrathin Bezel IPS LCD Computer Monitor (4-Pack) Best Value Bundle with LCD Screen Cleaning Kit",15805436,1209.95,https://www.bestbuy.ca/en-ca/product/15805436
"5-Pack Dell 24"" (P2418HZM) Ultrathin IPS LCD Computer Monitor Bundle",15805472,1509.95,https://www.bestbuy.ca/en-ca/product/15805472
"DELL P2723D 27"" Monitor, QHD 2560x1440 60Hz, HDMI - DP, USB 3.2, IPS",17957805,299.0,https://www.bestbuy.ca/en-ca/product/17957805
"DELL P2724DEB Video Conferencing Monitor, 27"" QHD 2560x1440 60Hz, HDMI, DP, USB Type C",17985261,399.0,https://www.bestbuy.ca/en-ca/product/17985261
Dell 34 Curved Video Conferencing Monitor - P3424WEB,17729956,999.99,https://www.bestbuy.ca/en-ca/product/17729956
Dell 65 4K Interactive Touch Monitor - P6524QT,17974182,4949.41,https://www.bestbuy.ca/en-ca/product/17974182
"Dell 40"" WUHD 60Hz 8ms GTG IPS Curved Monitor - (DELL-U4021QWA)",16929141,2485.99,https://www.bestbuy.ca/en-ca/product/16929141
Dell E2020H LCD Monitor DELL-E2020H,17555018,114.0,https://www.bestbuy.ca/en-ca/product/17555018
"DELL P2725H Monitor, 27"" FHD 1920x1080 100Hz, HDMI, DP, VGA, USB Type C",17986976,229.0,https://www.bestbuy.ca/en-ca/product/17986976
"DELL 27"" FHD 60Hz 8ms GTG IPS LCD Monitor (DELL-P2722HE)",16652579,440.99,https://www.bestbuy.ca/en-ca/product/16652579
"DELL 27"" 4K UHD 60Hz IPS LCD Monitor (DELL-P2723QE)",16655704,664.99,https://www.bestbuy.ca/en-ca/product/16655704
Dell 24-Inch Gaming Monitor S2421HGF FHD Full HD (1080p) 1920 x 1080 at 144Hz,17724143,894.95,https://www.bestbuy.ca/en-ca/product/17724143
Dell 24-Inch Gaming Monitor S2421HGF FHD Full HD (1080p) 1920 x 1080 at 144Hz,17724140,604.95,https://www.bestbuy.ca/en-ca/product/17724140
"DELL 21.4"" FHD 60Hz 10ms, 5ms GTG VA LCD Monitor - (DELL-E2222H)",16652587,166.99,https://www.bestbuy.ca/en-ca/product/16652587
3M Privacy Filter for Dell U3415W Monitor Black,12243473,409.99,https://www.bestbuy.ca/en-ca/product/12243473
Dell 27 Video Conferencing Monitor - P2724DEB,17739273,659.99,https://www.bestbuy.ca/en-ca/product/17739273
Dell 24 USB-C Hub Monitor - P2423DE,16445297,495.97,https://www.bestbuy.ca/en-ca/product/16445297
Dell 22 Monitor: E2220H,15136737,243.99,https://www.bestbuy.ca/en-ca/product/15136737
Dell 22 Monitor – E2223HN,16561465,169.99,https://www.bestbuy.ca/en-ca/product/16561465
Dell 24 Monitor: E2420HS DELL-E2420HS,15136749,302.97,https://www.bestbuy.ca/en-ca/product/15136749
"Dell P2720DC 27"" WQHD WLED LCD Monitor - 16:9 DELL-P2720DC",15136735,602.99,https://www.bestbuy.ca/en-ca/product/15136735
Dell UltraSharp USB-C Hub Monitor - U2421E,15447999,512.97,https://www.bestbuy.ca/en-ca/product/15447999
Dell 24-Inch Gaming Monitor S2421HGF FHD Full HD (1080p) 1920 x 1080 at 144Hz,17724141,306.12,https://www.bestbuy.ca/en-ca/product/17724141
Dell UltraSharp 30 USB-C Hub Monitor - U3023E,16368657,785.99,https://www.bestbuy.ca/en-ca/product/16368657
"Dell SE2216HV 21.5"" Full HD LED LCD Monitor - 16:9 - Black",10564503,189.99,https://www.bestbuy.ca/en-ca/product/10564503
"Dell 22"" LED FHD 60Hz VGA Black Monitor (E2222H)",16372810,139.99,https://www.bestbuy.ca/en-ca/product/16372810
"Dell 24"" LED WUXGA IPS 75Hz IPS Black Monitor (P2423)",16445315,438.97,https://www.bestbuy.ca/en-ca/product/16445315
Dell 24 Monitor - E2422H DELL-E2422H,16480371,290.99,https://www.bestbuy.ca/en-ca/product/16480371
Dell 24 Video Conferencing Monitor - P2424HEB DELLP2424HEB,17906937,581.99,https://www.bestbuy.ca/en-ca/product/17906937
"Dell E2016HV 19.5"" LED LCD Monitor - 16:9 - 5 ms",10498679,207.99,https://www.bestbuy.ca/en-ca/product/10498679
"Dell 24"" (P2418HZM) Ultrathin IPS LCD Computer Monitor (2-Pack) Deluxe Bundle",15806481,639.95,https://www.bestbuy.ca/en-ca/product/15806481
Dell 27 Monitor - E2723H,16568044,199.99,https://www.bestbuy.ca/en-ca/product/16568044
Dell 24 Inch Monitor – E2423HN,17154910,163.97,https://www.bestbuy.ca/en-ca/product/17154910
Dell 24 USB-C Hub Monitor - P2425E,17983324,519.99,https://www.bestbuy.ca/en-ca/product/17983324
Dell 24 Inch Monitor–E2423H,17460805,122.97,https://www.bestbuy.ca/en-ca/product/17460805
"Dell 23.8"" FHD 75Hz 5ms GTG VA LED Monitor (SE2422H) - Black",17983865,124.99,https://www.bestbuy.ca/en-ca/product/17983865
"10Ft 18AWG Computer Power Cord: NEMA 5-15P to C13 AC Power Cord for TV, Computer, PC Monitor - Samsung, Dell, Vizio, LG, Asus",17746059,30.93,https://www.bestbuy.ca/en-ca/product/17746059
"DELL 31.5"" WQHD 60Hz IPS LCD Monitor (DELL-P3223DE)",16652584,587.99,https://www.bestbuy.ca/en-ca/product/16652584
"Dell P2418HZm 23.8"" IPS Monitor (P2418HZM) with Wire Straps, Dust Blower, and Microfiber Cloth (3 - Pack)",15805531,924.95,https://www.bestbuy.ca/en-ca/product/15805531
"Dell P2418HZM 24"" 16:9 Ultrathin Bezel IPS LCD Computer Monitor (3-Pack) Best Value Bundle with LCD Screen Cleaning Kit",15806023,904.95,https://www.bestbuy.ca/en-ca/product/15806023
"Dell P2418HZm 23.8"" IPS Monitor",15805860,322.72,https://www.bestbuy.ca/en-ca/product/15805860
Dell P2418HZm 23.8 Inch IPS Computer Monitor for Video Conferencing - 1 Pack Bundle,15938177,321.06,https://www.bestbuy.ca/en-ca/product/15938177
"Dell P2418HZM 24"" 16:9 Ultrathin Bezel IPS LCD Computer Monitor (1-Pack) Best Value Bundle with LCD Screen Cleaning Kit",15806493,320.26,https://www.bestbuy.ca/en-ca/product/15806493
"DELL 21.5"" FHD 60Hz 5ms GTG TN LCD VSync Monitor (DELL-E2221HN) - Black",16652606,266.99,https://www.bestbuy.ca/en-ca/product/16652606
"DELL 21.5"" FHD 60Hz 8ms GTG IPS LCD Monitor (DELL-P2222H) - Black",16652601,242.99,https://www.bestbuy.ca/en-ca/product/16652601
"Dell P2418HZm 23.8"" IPS Monitor (P2418HZM) with Wire Straps, Dust Blower, and Microfiber Cloth (1 - Pack)",15805684,324.3,https://www.bestbuy.ca/en-ca/product/15805684
